,name,url,id,popularity,followers,genres
1615,Yovie & Nuno,https://open.spotify.com/artist/3DHOtJqv0Bw65ENlK4FiSF,3DHOtJqv0Bw65ENlK4FiSF,59,824279,"['indonesian pop', 'indonesian pop rock']"
1616,beabadoobee,https://open.spotify.com/artist/35l9BRT7MXmM8bv2WDQiyB,35l9BRT7MXmM8bv2WDQiyB,75,832396,"['bedroom pop', 'bubblegrunge', 'indie pop']"
1617,J Hus,https://open.spotify.com/artist/2a0uxJgbvvIRI4GX8pYfcr,2a0uxJgbvvIRI4GX8pYfcr,67,833666,"['afroswing', 'grime', 'uk hip hop']"
1618,Charlotte Lawrence,https://open.spotify.com/artist/7LImGq5KnzQobZciDJpeJb,7LImGq5KnzQobZciDJpeJb,66,835780,"['alt z', 'dance pop', 'electropop', 'indie poptimism', 'pop', 'post-teen pop', 'social media pop']"
1619,DaniLeigh,https://open.spotify.com/artist/0XIKGBo9PnK1ApI5tZA60d,0XIKGBo9PnK1ApI5tZA60d,66,836648,"['pop', 'pop r&b', 'pop rap', 'r&b', 'rap latina']"
1620,Jesse McCartney,https://open.spotify.com/artist/2Hjj68yyUPiC0HKEOigcEp,2Hjj68yyUPiC0HKEOigcEp,66,839525,"['dance pop', 'neo mellow', 'pop', 'pop rock', 'post-teen pop', 'urban contemporary', 'viral pop']"
1621,Ab-Soul,https://open.spotify.com/artist/0g9vAlRPK9Gt3FKCekk4TW,0g9vAlRPK9Gt3FKCekk4TW,62,853704,"['alternative hip hop', 'conscious hip hop', 'escape room', 'hip hop', 'rap', 'southern hip hop', 'underground hip hop']"
1622,Ricky Montgomery,https://open.spotify.com/artist/0ZUvK7zGdXLd78mQr3t1Tw,0ZUvK7zGdXLd78mQr3t1Tw,75,863618,"['indie pop', 'la indie', 'pop']"
1623,Hey Violet,https://open.spotify.com/artist/4JNfz6aO9ZFz0gp5GY88am,4JNfz6aO9ZFz0gp5GY88am,62,865738,"['alt z', 'dance pop', 'electropop', 'indie pop', 'indie poptimism', 'pixie', 'pop', 'post-teen pop', 'social media pop']"
1624,boy pablo,https://open.spotify.com/artist/7wbkl3zgDZEoZer357mVIw,7wbkl3zgDZEoZer357mVIw,69,886376,"['bedroom pop', 'bergen indie', 'indie pop', 'norwegian indie']"
1625,Tamar Braxton,https://open.spotify.com/artist/1MT1Wz4G9Z9EVOg4L5zZMS,1MT1Wz4G9Z9EVOg4L5zZMS,52,893490,"['dance pop', 'hip pop', 'neo soul', 'pop r&b', 'r&b', 'urban contemporary']"
1626,Quality Control,https://open.spotify.com/artist/6i392l38cR3uBPF0DbNs7S,6i392l38cR3uBPF0DbNs7S,70,899768,"['hip hop', 'melodic rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
1627,KAYTRANADA,https://open.spotify.com/artist/6qgnBH6iDM91ipVXv28OMu,6qgnBH6iDM91ipVXv28OMu,71,900340,"['escape room', 'indie soul', 'lgbtq+ hip hop']"
1628,Agnes Monica,https://open.spotify.com/artist/5auFhdM0ZgtH6cXwncgZ4m,5auFhdM0ZgtH6cXwncgZ4m,55,908307,['indonesian pop']
1629,FKA twigs,https://open.spotify.com/artist/6nB0iY1cjSY1KyhYyuIIKH,6nB0iY1cjSY1KyhYyuIIKH,67,908382,"['afrofuturism', 'alternative r&b', 'art pop', 'dance pop', 'escape room', 'experimental r&b', 'pop', 'trip hop']"
1630,dodie,https://open.spotify.com/artist/21TinSsF5ytwsfdyz5VSVS,21TinSsF5ytwsfdyz5VSVS,67,923733,"['alt z', 'indie pop', 'pop']"
1631,Huncho Jack,https://open.spotify.com/artist/6extd4B6hl8VTmnlhpl2bY,6extd4B6hl8VTmnlhpl2bY,63,925565,"['hip hop', 'melodic rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
1632,grandson,https://open.spotify.com/artist/4ZgQDCtRqZlhLswVS6MHN4,4ZgQDCtRqZlhLswVS6MHN4,75,937539,"['modern alternative rock', 'modern rock', 'rock']"
1633,Tom Misch,https://open.spotify.com/artist/1uiEZYehlNivdK3iQyAbye,1uiEZYehlNivdK3iQyAbye,72,937883,"['indie soul', 'jazz pop']"
1634,Alina Baraz,https://open.spotify.com/artist/6hfwwpXqZPRC9CsKI7qtv1,6hfwwpXqZPRC9CsKI7qtv1,72,953891,"['alternative r&b', 'etherpop', 'pop', 'r&b']"
1635,Olivia Holt,https://open.spotify.com/artist/188VINPQh5dyNfLUkevKqf,188VINPQh5dyNfLUkevKqf,58,986415,"['alt z', 'dance pop', 'pop', 'post-teen pop', 'social media pop']"
1636,Kash Doll,https://open.spotify.com/artist/3u579Gdap91lMptBSdXTpf,3u579Gdap91lMptBSdXTpf,61,992764,"['detroit hip hop', 'escape room', 'hip pop', 'pop r&b', 'pop rap', 'r&b', 'trap queen']"
1637,NIKI,https://open.spotify.com/artist/2kxP07DLgs4xlWz8YHlvfh,2kxP07DLgs4xlWz8YHlvfh,74,1012384,"['chill r&b', 'indonesian r&b', 'pop']"
1638,Isaiah Rashad,https://open.spotify.com/artist/6aaMZ3fcfLv4tEbmY7bjRM,6aaMZ3fcfLv4tEbmY7bjRM,74,1013172,"['hip hop', 'rap', 'tennessee hip hop', 'underground hip hop']"
1639,dvsn,https://open.spotify.com/artist/7e1ICztHM2Sc4JNLxeMXYl,7e1ICztHM2Sc4JNLxeMXYl,67,1013607,"['alternative r&b', 'canadian contemporary r&b', 'pop', 'pop r&b', 'pop rap', 'r&b', 'trap soul']"
1640,Jessie Reyez,https://open.spotify.com/artist/3KedxarmBCyFBevnqQHy3P,3KedxarmBCyFBevnqQHy3P,73,1014270,"['canadian contemporary r&b', 'canadian pop', 'dance pop', 'pop', 'r&b']"
1641,The-Dream,https://open.spotify.com/artist/1W3FSF1BLpY3hlVIgvenLz,1W3FSF1BLpY3hlVIgvenLz,68,1015391,"['dance pop', 'hip hop', 'hip pop', 'r&b', 'southern hip hop', 'trap', 'urban contemporary']"
1642,Pleasure P,https://open.spotify.com/artist/6dROiL44pIQZVNZ6Bc0OJO,6dROiL44pIQZVNZ6Bc0OJO,54,1017606,"['hip pop', 'pop r&b', 'pop rap', 'r&b', 'trap', 'urban contemporary']"
1643,The Internet,https://open.spotify.com/artist/7GN9PivdemQRKjDt4z5Zv8,7GN9PivdemQRKjDt4z5Zv8,64,1028416,"['alternative r&b', 'escape room', 'indie soul', 'lgbtq+ hip hop', 'neo soul', 'r&b']"
1644,Mýa,https://open.spotify.com/artist/6lHL3ubAMgSasKjNqKb8HF,6lHL3ubAMgSasKjNqKb8HF,66,1039658,"['dance pop', 'hip hop', 'hip pop', 'neo soul', 'pop r&b', 'r&b', 'urban contemporary']"
1645,Sevyn Streeter,https://open.spotify.com/artist/6If57j6e3TXXk0HiLcIZca,6If57j6e3TXXk0HiLcIZca,65,1063225,"['alternative r&b', 'dance pop', 'hip pop', 'indie r&b', 'neo soul', 'pop', 'pop r&b', 'pop rap', 'r&b', 'trap queen', 'urban contemporary']"
1646,M.I.A.,https://open.spotify.com/artist/0QJIPDAEDILuo8AIq3pMuU,0QJIPDAEDILuo8AIq3pMuU,73,1074459,"['dance pop', 'escape room', 'indietronica', 'new rave']"
1647,Jack Stauber,https://open.spotify.com/artist/1vVHevk2PD45epYnDi9CCc,1vVHevk2PD45epYnDi9CCc,69,1075558,['pittsburgh indie']
1648,Kiana Ledé,https://open.spotify.com/artist/7jZMxhsB8djyIbYmoiJSTs,7jZMxhsB8djyIbYmoiJSTs,70,1093745,"['alternative r&b', 'chill r&b', 'dance pop', 'pop', 'pop r&b', 'pop rap', 'r&b', 'urban contemporary']"
1649,PRETTYMUCH,https://open.spotify.com/artist/5Y8eJDj37KhaEeqbVO7Ag1,5Y8eJDj37KhaEeqbVO7Ag1,67,1118670,"['boy band', 'dance pop', 'pop', 'post-teen pop', 'social media pop']"
1650,Lauren Jauregui,https://open.spotify.com/artist/3J0BpFVUc9LeOIVeN5uNhU,3J0BpFVUc9LeOIVeN5uNhU,65,1119887,"['pop', 'post-teen pop', 'r&b']"
1651,Chrisye,https://open.spotify.com/artist/2NteKKMj3takKR3ABTd279,2NteKKMj3takKR3ABTd279,61,1124019,"['classic indo pop', 'indonesian city pop', 'indonesian indie', 'indonesian pop']"
1652,Jay Rock,https://open.spotify.com/artist/28ExwzUQsvgJooOI0X1mr3,28ExwzUQsvgJooOI0X1mr3,74,1131396,"['conscious hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'underground hip hop']"
