,name,url,id,popularity,followers,genres
203,Chuuwee,https://open.spotify.com/artist/6ZBnvCszokLW4YHZ50uHY8,6ZBnvCszokLW4YHZ50uHY8,54,81962,"['canadian hip hop', 'deep underground hip hop', 'indie hip hop', 'sacramento hip hop', 'underground hip hop']"
204,Moon Boots,https://open.spotify.com/artist/3cIXmCH7iNcslTbwrwS7zy,3cIXmCH7iNcslTbwrwS7zy,52,83860,"['deep house', 'edm', 'house', 'indie soul', 'nu disco']"
205,Alex Wiley,https://open.spotify.com/artist/0JdGPxHeRGfOyZg3EHwp2g,0JdGPxHeRGfOyZg3EHwp2g,47,84155,"['chicago rap', 'deep underground hip hop', 'underground hip hop']"
206,Tora,https://open.spotify.com/artist/7KGI0OwY8iAL5rI5p47YyK,7KGI0OwY8iAL5rI5p47YyK,59,84566,"['alternative r&b', 'indie soul', 'vapor soul']"
207,Cal Scruby,https://open.spotify.com/artist/2wcrc3fjebDRLVdtRUa3pu,2wcrc3fjebDRLVdtRUa3pu,60,86106,"['canadian hip hop', 'deep underground hip hop', 'indie pop rap', 'ohio hip hop', 'pop rap', 'underground hip hop']"
208,Tiara Thomas,https://open.spotify.com/artist/69FykkhiqpzqeSNYRxc8BI,69FykkhiqpzqeSNYRxc8BI,43,86343,"['alternative r&b', 'pop r&b']"
209,Kaiit,https://open.spotify.com/artist/1lEiFY8tYuckyd67eGiaF1,1lEiFY8tYuckyd67eGiaF1,46,86753,"['alternative r&b', 'australian r&b']"
210,Jean Deaux,https://open.spotify.com/artist/4JqpJeNOhP6bAkolNMLwFg,4JqpJeNOhP6bAkolNMLwFg,62,87821,"['alternative r&b', 'chill r&b', 'escape room', 'indie r&b', 'indie soul']"
211,Ady Suleiman,https://open.spotify.com/artist/5LuLeXlnT2jFxbx7Cg7j88,5LuLeXlnT2jFxbx7Cg7j88,53,87906,"['indie soul', 'uk contemporary r&b']"
212,Pell,https://open.spotify.com/artist/2O2dI9lY9PnWtAa4OlrgMi,2O2dI9lY9PnWtAa4OlrgMi,57,88121,"['pop rap', 'underground hip hop']"
213,RIMON,https://open.spotify.com/artist/4DtUsfaVQBhypuwYmobdSm,4DtUsfaVQBhypuwYmobdSm,50,88465,"['alternative r&b', 'chill r&b', 'dutch r&b', 'indie r&b', 'indie soul']"
214,Tayla Parx,https://open.spotify.com/artist/1LzWWI9v4UKdbBgz8fqi15,1LzWWI9v4UKdbBgz8fqi15,48,88703,['alternative r&b']
215,Erick the Architect,https://open.spotify.com/artist/2mQLwfvZtvtTbipKn3xHmK,2mQLwfvZtvtTbipKn3xHmK,62,88712,['underground hip hop']
216,Childish Major,https://open.spotify.com/artist/4bMNzAopkqYTwkBLwMKsF1,4bMNzAopkqYTwkBLwMKsF1,55,90535,"['alternative r&b', 'canadian hip hop', 'indie r&b', 'pop rap', 'trap soul', 'underground hip hop']"
217,Teddy Adhitya,https://open.spotify.com/artist/7dOswEYzOtTMECumrZ3NHY,7dOswEYzOtTMECumrZ3NHY,54,91999,"['indonesian indie', 'indonesian jazz', 'indonesian pop', 'indonesian singer-songwriter']"
218,Chynna,https://open.spotify.com/artist/41TSOINjztNAFtwuGenWVA,41TSOINjztNAFtwuGenWVA,47,92043,"['electra', 'escape room', 'trap queen']"
219,Brasstracks,https://open.spotify.com/artist/5sKvgmG84C0bIMWeS2SRPr,5sKvgmG84C0bIMWeS2SRPr,59,93521,"['alternative r&b', 'indie soul', 'nyc pop']"
220,Ramriddlz,https://open.spotify.com/artist/3fHjwMnkM9ov8CozqkYxWY,3fHjwMnkM9ov8CozqkYxWY,45,95079,"['canadian contemporary r&b', 'canadian hip hop', 'rap calme', 'trap soul']"
221,Guapdad 4000,https://open.spotify.com/artist/0NcPKaSNIHAM2RfioH9vMT,0NcPKaSNIHAM2RfioH9vMT,64,95887,"['cali rap', 'oakland hip hop', 'pop rap', 'scam rap', 'trap soul', 'underground hip hop', 'vapor trap']"
222,Caleborate,https://open.spotify.com/artist/7bpDJUH5hnffIYHID6h3Et,7bpDJUH5hnffIYHID6h3Et,51,95990,"['bay area indie', 'cali rap', 'indie hip hop', 'underground hip hop']"
223,Hope Tala,https://open.spotify.com/artist/74CcYmmNeHKe5PrZaISk8e,74CcYmmNeHKe5PrZaISk8e,60,96631,"['alternative r&b', 'chill r&b', 'indie r&b', 'indie soul']"
224,Abhi The Nomad,https://open.spotify.com/artist/1gUi2utSbJLNPddYENJAp4,1gUi2utSbJLNPddYENJAp4,59,98098,"['desi hip hop', 'lo-fi rap', 'pop rap', 'vapor soul']"
225,Terrace Martin,https://open.spotify.com/artist/7MNEVabc4cs19CbzAFZmXz,7MNEVabc4cs19CbzAFZmXz,65,99157,"['alternative r&b', 'indie soul', 'neo soul']"
226,Jalen Santoy,https://open.spotify.com/artist/41DGOfz7IFMVvf9wKAzeZS,41DGOfz7IFMVvf9wKAzeZS,57,99940,"['north carolina hip hop', 'underground hip hop']"
227,Joyce Wrice,https://open.spotify.com/artist/24Cf1irKt7kcewb9OOkPum,24Cf1irKt7kcewb9OOkPum,54,100356,"['alternative r&b', 'chill r&b', 'indie r&b', 'indie soul', 'r&b']"
228,monte booker,https://open.spotify.com/artist/4p75GTNEXwsAAkpweMVtKo,4p75GTNEXwsAAkpweMVtKo,54,100755,"['underground hip hop', 'viral rap']"
229,Luke Chiang,https://open.spotify.com/artist/1dPSMH55yhvjYIwqCP4iDj,1dPSMH55yhvjYIwqCP4iDj,63,101772,"['chill r&b', 'pop']"
230,RKCB,https://open.spotify.com/artist/4QDvXnbmw1znkqkK1119Fc,4QDvXnbmw1znkqkK1119Fc,58,103133,"['electropop', 'indie electropop', 'indie poptimism', 'indie soul', 'vapor soul', 'vapor twitch']"
231,Tone Stith,https://open.spotify.com/artist/756t7CBmWLNYsshVtS6P44,756t7CBmWLNYsshVtS6P44,61,103966,"['alternative r&b', 'chill r&b', 'indie r&b', 'pop', 'pop r&b', 'r&b', 'trap soul']"
232,Eli Sostre,https://open.spotify.com/artist/1ZilzPhvZhYUCSGczNRlyt,1ZilzPhvZhYUCSGczNRlyt,51,104122,"['trap soul', 'underground hip hop']"
233,Orion Sun,https://open.spotify.com/artist/2efrqekWSHlvhATD50AG3m,2efrqekWSHlvhATD50AG3m,58,104209,"['alternative r&b', 'bedroom pop', 'chill r&b', 'indie pop', 'indie r&b', 'indie soul']"
234,ELIZA,https://open.spotify.com/artist/0PgYKqH7ohfAm9LFgWjpl8,0PgYKqH7ohfAm9LFgWjpl8,49,104580,"['alternative r&b', 'indie soul', 'uk contemporary r&b']"
235,Aftertheparty,https://open.spotify.com/artist/4xXlwzlQAvjV07mmGvlT0T,4xXlwzlQAvjV07mmGvlT0T,52,107618,"['trap soul', 'vapor trap']"
236,Rexx Life Raj,https://open.spotify.com/artist/5rDXcEIODl8TgGTgrntnjX,5rDXcEIODl8TgGTgrntnjX,62,107890,"['alternative r&b', 'cali rap', 'pop rap', 'trap soul', 'underground hip hop']"
